Sr.No.,Input_Text,TP_ent,FP_ent,FN_ent,TP_rel,FP_rel,FN_rel,TP_ent_pairs,FP_ent_pairs,FN_ent_pairs,TP_rel_pairs,FP_rel_pairs,FN_rel_pairs
1,"On March 12, 2024, Sai Deshpande, a known smuggler, drove an 18-wheeler carrying undocumented migrants.",2,0,1,1,0,1,"('18-wheeler', 'means_of_transportation'); ('sai deshpande', 'person')",,"('smuggler', 'person')","('sai deshpande', '18-wheeler')",,"('sai deshpande', 'smuggler')"
2,"Smugglers from the Horizon Smuggling Ring used remote desert roads to avoid law enforcement, communicating via WhatsApp.",4,0,0,4,1,0,"('horizon smuggling ring', 'organization'); ('remote desert roads', 'routes'); ('smugglers', 'person'); ('whatsapp', 'means_of_communication')",,,"('horizon smuggling ring', 'remote desert roads'); ('smugglers', 'horizon smuggling ring'); ('smugglers', 'remote desert roads'); ('smugglers', 'whatsapp')","('horizon smuggling ring', 'whatsapp')",
3,"Krish Patil transported undocumented aliens along Interstate 988 before arriving at a stash house in Velu, where illegal weapons were stored.",5,0,1,3,4,4,"('illegal weapons', 'smuggled_items'); ('interstate 988', 'routes'); ('krish patil', 'person'); ('undocumented aliens', 'smuggled_items'); ('velu', 'location')",,"('stash house', 'location')","('krish patil', 'illegal weapons'); ('krish patil', 'undocumented aliens'); ('undocumented aliens', 'interstate 988')","('illegal weapons', 'velu'); ('krish patil', 'interstate 988'); ('krish patil', 'velu'); ('undocumented aliens', 'velu')","('illegal weapons', 'stash house'); ('krish patil', 'smuggler'); ('stash house', 'velu'); ('undocumented aliens', 'stash house')"
4,Border Patrol Agent Ruben Mendoza was on patrol and observed a truck pass.,2,0,0,1,0,0,"('ruben mendoza', 'person'); ('truck', 'means_of_transportation')",,,"('ruben mendoza', 'truck')",,
5,The defendant Cantu Silva ran from the agents and passed a dilapidated barb wire fence.,1,0,1,0,0,1,"('cantu silva', 'person')",,"('agents', 'person')",,,"('cantu silva', 'agents')"
6,A superseding indictment charged Jaquez with one count of conspiracy to transport and one count of transporting undocumented aliens.,2,0,0,1,0,0,"('jaquez', 'person'); ('undocumented aliens', 'smuggled_items')",,,"('jaquez', 'undocumented aliens')",,
7,"Border Patrol Agent George Reyna testified that at 5:30 a.m. on August 30, 2022, a Border Patrol camera captured an image of a pickup truck with a gooseneck trailer on the road leading to the OKM Ranch.",2,0,0,1,0,1,"('george reyna', 'person'); ('pickup truck', 'means_of_transportation')",,,"('george reyna', 'pickup truck')",,"('august 30, 2022', 'george reyna')"
8,"Abdullah Yusuf was stopped by Border Patrol near Laredo, Texas, while smuggling 84 illegal aliens in a trailer.",3,0,1,2,1,0,"('abdullah yusuf', 'person'); ('laredo, texas', 'location'); ('trailer', 'means_of_transportation')",,"('84 illegal aliens', 'smuggled_items')","('abdullah yusuf', 'laredo, texas'); ('abdullah yusuf', 'trailer')","('trailer', 'laredo, texas')",
9,Cano and the other occupants of the vehicle were taken to the Cotulla Border Patrol Station for further processing.,2,0,0,0,0,1,"('cano', 'person'); ('cotulla border patrol station', 'location')",,,,,"('cano', 'cotulla border patrol station')"
10,"On the evening of February 4, 2013, United States Border Patrol Agent Jorge Luis Trevino was stationed at the Freer immigration checkpoint, ""Echo 43,"" on U.S. 59 outside of Freer, Texas.",2,0,1,0,1,2,"('jorge luis trevino', 'person'); ('u.s. 59', 'routes')",,"('echo 43', 'location')",,"('jorge luis trevino', 'u.s. 59')","('echo 43', 'u.s. 59'); ('jorge luis trevino', 'echo 43')"
