Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,3,0,0,2,0,0,"('18-wheeler', 'means_of_transportation'); ('sai deshpande', 'person'); ('smuggler', 'person')",,,"('18-wheeler', 'sai deshpande'); ('sai deshpande', 'smuggler')",,
2,4,0,0,4,0,0,"('horizon smuggling ring', 'organization'); ('remote desert roads', 'routes'); ('smugglers', 'person'); ('whatsapp', 'means_of_communication')",,,"('horizon smuggling ring', 'remote desert roads'); ('horizon smuggling ring', 'smugglers'); ('remote desert roads', 'smugglers'); ('smugglers', 'whatsapp')",,
3,5,1,1,6,0,1,"('illegal weapons', 'smuggled_items'); ('interstate 988', 'routes'); ('krish patil', 'person'); ('stash house', 'location'); ('velu', 'location')","('undocumented aliens', 'person')","('undocumented aliens', 'smuggled_items')","('illegal weapons', 'krish patil'); ('illegal weapons', 'stash house'); ('interstate 988', 'undocumented aliens'); ('krish patil', 'undocumented aliens'); ('stash house', 'undocumented aliens'); ('stash house', 'velu')",,"('krish patil', 'smuggler')"
4,2,0,0,1,0,0,"('ruben mendoza', 'person'); ('truck', 'means_of_transportation')",,,"('ruben mendoza', 'truck')",,
5,2,1,0,1,1,0,"('agents', 'person'); ('cantu silva', 'person')","('dilapidated barb wire fence', 'location')",,"('agents', 'cantu silva')","('cantu silva', 'dilapidated barb wire fence')",
6,1,0,1,0,2,1,"('jaquez', 'person')",,"('undocumented aliens', 'smuggled_items')",,"('conspiracy', 'jaquez'); ('jaquez', 'transporting undocumented aliens')","('jaquez', 'undocumented aliens')"
7,2,7,0,1,5,1,"('george reyna', 'person'); ('pickup truck', 'means_of_transportation')","('5:30 a.m.', 'time'); ('august 30, 2022', 'date'); ('border patrol agent', 'person'); ('george reyna', 'border patrol agent'); ('gooseneck trailer', 'means_of_transportation'); ('okm ranch', 'location'); ('road', 'routes')",,"('august 30, 2022', 'george reyna')","('5:30 a.m.', 'george reyna'); ('george reyna', 'okm ranch'); ('george reyna', 'road'); ('gooseneck trailer', 'pickup truck'); ('pickup truck', 'road')","('george reyna', 'pickup truck')"
8,3,2,1,0,4,0,"('abdullah yusuf', 'person'); ('laredo, texas', 'location'); ('trailer', 'means_of_transportation')","('border patrol', 'person'); ('illegal aliens', 'person')","('84 illegal aliens', 'smuggled_items')",,"('abdullah yusuf', 'border patrol'); ('abdullah yusuf', 'illegal aliens'); ('abdullah yusuf', 'trailer'); ('illegal aliens', 'laredo, texas')",
9,1,1,1,0,1,1,"('cano', 'person')","('border patrol station', 'location')","('cotulla border patrol station', 'location')",,"('border patrol station', 'cano')","('cano', 'cotulla border patrol station')"
10,3,3,0,1,4,1,"('echo 43', 'location'); ('jorge luis trevino', 'person'); ('u.s. 59', 'routes')","('freer immigration checkpoint', 'location'); ('freer, texas', 'location'); ('united states border patrol agent', 'person')",,"('echo 43', 'jorge luis trevino')","('freer immigration checkpoint', 'freer, texas'); ('freer immigration checkpoint', 'jorge luis trevino'); ('jorge luis trevino', 'u.s. 59'); ('jorge luis trevino', 'united states border patrol agent')","('echo 43', 'u.s. 59')"
11,4,3,1,0,3,6,"('interstate 35', 'routes'); ('route 133', 'routes'); ('service radio', 'means_of_communication'); ('white pickup truck', 'means_of_transportation')","('agent silva', 'person'); ('illegal aliens', 'smuggled_items'); ('roving patrol', 'person')","('silva', 'person')",,"('agent silva', 'roving patrol'); ('agent silva', 'white pickup truck'); ('illegal aliens', 'white pickup truck')","('interstate 35', 'silva'); ('interstate 35', 'white pickup truck'); ('route 133', 'silva'); ('service radio', 'silva'); ('service radio', 'white pickup truck'); ('silva', 'white pickup truck')"
12,3,1,1,2,3,2,"('black dodge truck', 'means_of_transportation'); ('farm-to-market road 2050', 'routes'); ('u.s. 59', 'routes')","('white malibu', 'means_of_transportation')","('white malibu sedan', 'means_of_transportation')","('black dodge truck', 'farm-to-market road 2050'); ('black dodge truck', 'u.s. 59')","('black dodge truck', 'white malibu'); ('farm-to-market road 2050', 'white malibu'); ('u.s. 59', 'white malibu')","('farm-to-market road 2050', 'white malibu sedan'); ('u.s. 59', 'white malibu sedan')"
13,1,0,2,0,1,0,"('tony primo', 'person')",,"('cellphone', 'means_of_communication'); ('tony primo', 'cellphone')",,"('cellphone', 'tony primo')",
14,3,1,1,1,3,3,"('andrea gonzalez-perales', 'person'); ('border patrol checkpoint', 'location'); ('laredo, texas', 'location')","('female passengers', 'person')","('three female passengers', 'person')","('andrea gonzalez-perales', 'border patrol checkpoint')","('andrea gonzalez-perales', 'female passengers'); ('andrea gonzalez-perales', 'laredo, texas'); ('border patrol checkpoint', 'female passengers')","('andrea gonzalez-perales', 'three female passengers'); ('border patrol checkpoint', 'laredo, texas'); ('border patrol checkpoint', 'three female passengers')"
15,4,0,0,3,0,2,"('daniel hernandez-lopez', 'person'); ('hidalgo, texas', 'location'); ('mexico', 'location'); ('southern district of texas', 'location')",,,"('daniel hernandez-lopez', 'hidalgo, texas'); ('daniel hernandez-lopez', 'mexico'); ('daniel hernandez-lopez', 'southern district of texas')",,"('hidalgo, texas', 'mexico'); ('hidalgo, texas', 'southern district of texas')"
16,2,1,2,1,2,3,"('aliens', 'person'); ('united states', 'location')","('yusuf's trailer', 'location')","('trailer', 'means_of_transportation'); ('yusuf', 'person')","('aliens', 'united states')","('aliens', 'aliens'); ('aliens', 'yusuf's trailer')","('aliens', 'trailer'); ('aliens', 'yusuf'); ('trailer', 'yusuf')"
