Row_ID,TP_entities,FP_entities,FN_entities,TP_rel,FP_rel,FN_rel,TP_entity_pairs,FP_entity_pairs,FN_entity_pairs,TP_relation_pairs,FP_relation_pairs,FN_relation_pairs
1,2,0,1,1,0,1,"('sai deshpande', 'person'); ('18-wheeler', 'means_of_transportation')",,"('smuggler', 'person')","('sai deshpande', '18-wheeler')",,"('sai deshpande', 'smuggler')"
2,4,0,0,4,1,0,"('smugglers', 'person'); ('horizon smuggling ring', 'organization'); ('remote desert roads', 'routes'); ('whatsapp', 'means_of_communication')",,,"('smugglers', 'horizon smuggling ring'); ('smugglers', 'remote desert roads'); ('smugglers', 'whatsapp'); ('horizon smuggling ring', 'remote desert roads')","('horizon smuggling ring', 'whatsapp')",
3,5,0,1,3,4,4,"('krish patil', 'person'); ('undocumented aliens', 'smuggled_items'); ('illegal weapons', 'smuggled_items'); ('interstate 988', 'routes'); ('velu', 'location')",,"('stash house', 'location')","('krish patil', 'undocumented aliens'); ('krish patil', 'illegal weapons'); ('undocumented aliens', 'interstate 988')","('krish patil', 'interstate 988'); ('krish patil', 'velu'); ('illegal weapons', 'velu'); ('undocumented aliens', 'velu')","('krish patil', 'smuggler'); ('illegal weapons', 'stash house'); ('undocumented aliens', 'stash house'); ('stash house', 'velu')"
4,2,0,0,1,0,0,"('ruben mendoza', 'person'); ('truck', 'means_of_transportation')",,,"('ruben mendoza', 'truck')",,
5,1,0,1,0,0,1,"('cantu silva', 'person')",,"('agents', 'person')",,,"('cantu silva', 'agents')"
6,2,0,0,1,0,0,"('jaquez', 'person'); ('undocumented aliens', 'smuggled_items')",,,"('jaquez', 'undocumented aliens')",,
7,2,0,0,1,0,1,"('george reyna', 'person'); ('pickup truck', 'means_of_transportation')",,,"('george reyna', 'pickup truck')",,"('august 30, 2022', 'george reyna')"
8,3,0,0,2,1,0,"('abdullah yusuf', 'person'); ('laredo, texas', 'location'); ('trailer', 'means_of_transportation')",,,"('abdullah yusuf', 'laredo, texas'); ('abdullah yusuf', 'trailer')","('trailer', 'laredo, texas')",
9,2,0,0,0,0,1,"('cano', 'person'); ('cotulla border patrol station', 'location')",,,,,"('cano', 'cotulla border patrol station')"
10,2,0,0,0,1,2,"('jorge luis trevino', 'person'); ('u.s. 59', 'routes')",,,,"('jorge luis trevino', 'u.s. 59')","('jorge luis trevino', 'echo 43'); ('echo 43', 'u.s. 59')"
11,2,2,0,0,5,3,"('service radio', 'means_of_communication'); ('white pickup truck', 'means_of_transportation')","('interstate 35', 'routes'); ('route 133', 'routes')",,,"('agent silva', 'interstate 35'); ('agent silva', 'route 133'); ('agent silva', 'service radio'); ('white pickup truck', 'interstate 35'); ('service radio', 'white pickup truck')","('silva', 'interstate 35'); ('silva', 'route 133'); ('silva', 'white pickup truck')"
12,3,1,0,2,2,0,"('u.s. 59', 'routes'); ('white malibu sedan', 'means_of_transportation'); ('black dodge truck', 'means_of_transportation')","('farm-to-market road 2050', 'routes')",,"('white malibu sedan', 'u.s. 59'); ('black dodge truck', 'u.s. 59')","('white malibu sedan', 'farm-to-market road 2050'); ('black dodge truck', 'farm-to-market road 2050')",
13,1,0,0,0,1,0,"('cellphone', 'means_of_communication')",,,,"('cellphone', 'tony primo')",
14,1,1,2,0,1,2,"('andrea gonzalez-perales', 'person')","('laredo, texas', 'location')","('three female passengers', 'person'); ('border patrol checkpoint', 'location')",,"('andrea gonzalez-perales', 'laredo, texas')","('andrea gonzalez-perales', 'three female passengers'); ('andrea gonzalez-perales', 'border patrol checkpoint')"
15,1,3,1,0,5,0,"('daniel hernandez-lopez', 'person')","('southern district of texas', 'location'); ('mexico', 'location'); ('hidalgo, texas', 'location')","('border patrol checkpoint', 'location')",,"('daniel hernandez-lopez', 'mexico'); ('daniel hernandez-lopez', 'hidalgo, texas'); ('daniel hernandez-lopez', 'southern district of texas'); ('mexico', 'hidalgo, texas'); ('southern district of texas', 'hidalgo, texas')",
16,1,1,1,1,0,1,"('yusuf', 'person')","('aliens', 'person')","('trailer', 'means_of_transportation')","('yusuf', 'aliens')",,"('yusuf', 'trailer')"
17,5,3,0,0,8,0,"('ortega-chavez', 'person'); ('ramon gonzalez sanchez', 'person'); ('alejandro gonzalez delgado', 'person'); ('nuevo laredo', 'location'); ('sabinas hidalgo', 'location')","('november 21, 1980', 'date'); ('november 22, 1980', 'date'); ('united states', 'location')",,,"('ortega-chavez', 'ramon gonzalez sanchez'); ('ortega-chavez', 'nuevo laredo'); ('ramon gonzalez sanchez', 'nuevo laredo'); ('ortega-chavez', 'sabinas hidalgo'); ('ramon gonzalez sanchez', 'sabinas hidalgo'); ('alejandro gonzalez delgado', 'sabinas hidalgo'); ('ortega-chavez', 'united states'); ('ramon gonzalez sanchez', 'united states')",
18,1,1,1,0,1,1,"('texas highway 385', 'routes')","('agent graham', 'person')","('graham', 'person')",,"('agent graham', 'texas highway 385')","('graham', 'texas highway 385')"
19,3,4,1,2,10,1,"('mejia-orosco', 'person'); ('hector galvencio paz-ortega', 'person'); ('carlos enrique cruz-morales', 'person')","('guatemala', 'location'); ('mexico', 'location'); ('united states', 'location'); ('nuevo laredo, tamaulipas, mexico', 'location')","('nuevo laredo', 'person')","('mejia-orosco', 'hector galvencio paz-ortega'); ('mejia-orosco', 'carlos enrique cruz-morales')","('mejia-orosco', 'guatemala'); ('hector galvencio paz-ortega', 'guatemala'); ('carlos enrique cruz-morales', 'guatemala'); ('mejia-orosco', 'mexico'); ('mejia-orosco', 'united states'); ('hector galvencio paz-ortega', 'mexico'); ('carlos enrique cruz-morales', 'mexico'); ('mejia-orosco', 'nuevo laredo, tamaulipas, mexico'); ('hector galvencio paz-ortega', 'nuevo laredo, tamaulipas, mexico'); ('carlos enrique cruz-morales', 'nuevo laredo, tamaulipas, mexico')","('mejia-orosco', 'nuevo laredo')"
20,4,1,1,2,6,1,"('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('cruz-morales', 'person'); ('rio grande', 'location')","('laredo, texas', 'location')","('laredo', 'location')","('mejia-orosco', 'paz-ortega'); ('mejia-orosco', 'cruz-morales')","('mejia-orosco', 'laredo, texas'); ('paz-ortega', 'rio grande'); ('cruz-morales', 'rio grande'); ('paz-ortega', 'cruz-morales'); ('paz-ortega', 'laredo, texas'); ('cruz-morales', 'laredo, texas')","('mejia-orosco', 'laredo')"
21,4,3,1,3,3,0,"('mejia-orosco', 'person'); ('paz-ortega', 'person'); ('cruz-morales', 'person'); ('san antonio', 'location')","('los angeles', 'location'); ('new york city', 'location'); ('laredo', 'location')","('laredo international airport', 'location')","('mejia-orosco', 'paz-ortega'); ('mejia-orosco', 'cruz-morales'); ('mejia-orosco', 'san antonio')","('paz-ortega', 'los angeles'); ('cruz-morales', 'new york city'); ('mejia-orosco', 'laredo')",
22,1,0,0,0,0,1,"('mejia-orosco', 'person')",,,,,"('mejia-orosco', 'aliens')"
23,3,2,1,2,3,3,"('defendant', 'person'); ('codefendant', 'person'); ('quebec, montreal, canada', 'location')","('ghana', 'location'); ('africa', 'location')","('ghana, africa', 'location')","('defendant', 'quebec, montreal, canada'); ('codefendant', 'quebec, montreal, canada')","('defendant', 'ghana'); ('codefendant', 'ghana'); ('defendant', 'codefendant')","('henderson', 'agent'); ('defendant', 'ghana, africa'); ('codefendant', 'ghana, africa')"
24,1,1,1,0,3,1,"('highway 359', 'routes')","('agent henderson', 'person')","('henderson', 'person')",,"('agent henderson', 'diesel impact 2000'); ('agent henderson', 'highway 359'); ('diesel impact 2000', 'highway 359')","('henderson', 'highway 359')"
25,3,0,0,2,1,0,"('santos', 'person'); ('fonseca', 'person'); ('laredo, texas', 'location')",,,"('santos', 'fonseca'); ('santos', 'laredo, texas')","('fonseca', 'laredo, texas')",
26,1,1,0,0,1,0,"('yusif ahmed rufied', 'person')","('may 26, 2006', 'date')",,,"('yusif ahmed rufied', 'may 26, 2006')",
27,1,3,0,0,5,0,"('highway 59', 'routes')","('agent henderson', 'person'); ('joe silva', 'person'); ('may 24, 2006', 'date')",,,"('agent henderson', 'joe silva'); ('agent henderson', 'may 24, 2006'); ('joe silva', 'may 24, 2006'); ('agent henderson', 'highway 59'); ('joe silva', 'highway 59')",
28,2,2,1,0,4,4,"('interstate 35', 'routes'); ('route 133', 'routes')","('agent silva', 'person'); ('illegal aliens', 'smuggled_items')","('silva', 'person')",,"('agent silva', 'interstate 35'); ('agent silva', 'route 133'); ('illegal aliens', 'interstate 35'); ('illegal aliens', 'route 133')","('silva', 'interstate 35'); ('silva', 'route 133'); ('silva', 'white pickup truck'); ('silva', 'aliens')"
